# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=9.39328e-06 to 1.4903 h/Mpc,
# number of wavenumbers equal to 114
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:vx_smg                 7:vx_prime_smg           8:d_tot                  9:phi                   10:psi                   11:h                     12:h_prime               13:eta                   14:eta_prime             15:H_T_Nb_prime          16:k2gamma_Nb            17:t_g                   18:t_b                   19:t_ur                  20:t_tot              
       7.461348975050e-04       1.881878221973e-02      -5.821853260243e+00      -5.822364729754e+00       4.292700290301e-02       1.444998545558e+03       0.000000000000e+00      -1.490636688885e+00       5.463717164370e-01       5.463768297163e-01       1.164472945951e+01       1.135576603819e-03       1.160772354600e+00       6.881856249324e-05      -1.877058096412e-08       3.104619576696e-12      -8.039372645441e-04      -3.227544895319e-08      -7.929210091826e-04      -3.102211797185e-07 
       9.393281830955e-04       3.153394283951e-02      -9.371405467346e+00      -9.372385206627e+00       2.955918577780e-02       1.886724282804e+03       0.000000000000e+00      -2.399504975915e+00       5.832066762386e-01       5.832050133424e-01       1.874477041325e+01       1.945237798759e-03       1.208236664935e+00       9.190143641145e-05       6.496256286118e-09      -7.996601567908e-13      -1.227357621206e-03      -5.730529974341e-08      -1.218954884790e-03      -4.761191131896e-07 
       1.182544119713e-03       1.932760785441e-01      -1.505987281168e+01      -1.506158678207e+01       1.931091380850e-01       2.332127212104e+03       0.000000000000e+00      -3.856030548746e+00       6.209548869129e-01       6.209547930090e-01       3.012317356414e+01       3.306810450580e-03       1.255628212092e+00       1.185261901866e-04      -1.309829467489e-08       3.373729550215e-12      -1.993749627366e-03      -9.409636034346e-08      -1.998481354046e-03      -7.764410208368e-07 
       1.488734842875e-03       1.906277304346e-01      -2.409952404691e+01      -2.410231492651e+01       2.068698413160e-01       2.754831194256e+03       0.000000000000e+00      -6.170621999478e+00       6.585482089443e-01       6.585469274583e-01       4.820462985302e+01       5.550231303097e-03       1.300933292612e+00       1.491991297038e-04       2.566453616418e-09       9.727880709934e-13      -3.044133141451e-03      -1.452123124583e-07      -3.045348349830e-03      -1.184790546619e-06 
       1.874206125119e-03       2.649266774115e-01      -3.835401799732e+01      -3.835857348453e+01       2.675807001231e-01       3.148770654526e+03       0.000000000000e+00      -9.820477343112e+00       6.957416064433e-01       6.957410585479e-01       7.671714696907e+01       9.197616547664e-03       1.343574878921e+00       1.840555580726e-04      -7.787773438998e-09       3.058558095876e-12      -4.934224198556e-03      -2.218398170541e-07      -4.923402611090e-03      -1.916410597886e-06 
       2.359485717852e-03       1.728598271225e-01      -6.067533574438e+01      -6.068340972339e+01       1.891725305954e-01       3.505946968004e+03       0.000000000000e+00      -1.553601731731e+01       7.309206151156e-01       7.309199331911e-01       1.213668194468e+02       1.506150102505e-02       1.381379213836e+00       2.220259900322e-04       9.482365553121e-09      -2.239030195335e-13      -7.876407975671e-03      -3.520307149245e-07      -7.881552993697e-03      -3.062321337922e-06 
       2.970416528969e-03       1.011796325328e-01      -9.536744234578e+01      -9.538245756643e+01       3.953830714673e-02       3.812214585637e+03       0.000000000000e+00      -2.441950875959e+01       7.614684199147e-01       7.614682086110e-01       1.907649151329e+02       2.437320432518e-02       1.410876790738e+00       2.611733723311e-04       5.572089874698e-09      -3.404792742845e-13      -1.252602979301e-02      -5.600935174215e-07      -1.228543027418e-02      -4.831251820366e-06 
       3.739532851933e-03       2.658193950971e-02      -1.488228031413e+02      -1.488514877008e+02      -5.219255225780e-01       4.052375718192e+03       0.000000000000e+00      -3.810830023916e+01       7.845774672070e-01       7.845773377627e-01       2.977029754015e+02       3.896130448852e-02       1.428347258862e+00       2.990412223523e-04       2.500201947196e-08      -5.264926013436e-12      -1.968588288208e-02      -8.749022570723e-07      -1.944228221164e-02      -7.613006397888e-06 
       4.707792935537e-03      -5.104039147756e-01      -2.303586222667e+02      -2.304167562728e+02      -5.061250469126e-01       4.213815854294e+03       0.000000000000e+00      -5.898977152165e+01       7.977050538040e-01       7.977050538040e-01       4.608335125456e+02       6.149052146920e-02       1.430457651985e+00       3.328759338684e-04       3.677570540678e-08      -9.262136454303e-12      -3.074671033220e-02      -1.384078995052e-06      -3.074526073460e-02      -1.195232455919e-05 
       5.926760160013e-03      -6.198690539187e-01      -3.532401881096e+02      -3.533626953533e+02      -6.156655846262e-01       4.287256158202e+03       0.000000000000e+00      -9.046429341764e+01       7.987775897641e-01       7.987775897641e-01       7.067253907067e+02       9.573868223997e-02       1.414400308247e+00       3.597737313014e-04       4.467626410112e-08      -1.125192976711e-11      -4.787072611497e-02      -2.184216270369e-06      -4.786934111998e-02      -1.861352446859e-05 
